time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.22,4.6,-0.0021268488,-0.0009817946,0.020885099,4.2778544,1.0,0.0
0.22,4.8,-0.0017684144,-0.0052383114,0.012268934,7.2540293,1.0,0.0
0.22,5.0,-0.0037232512,-0.0035447562,0.046004824,8.425489,1.0,0.0
0.24,0.0,-0.010261649,-0.010223728,-0.0784259,2.2699068,1.0,1.0
0.24,0.2,0.16880748,-0.007988501,0.061689563,14.451832,1.0,1.0
0.24,0.4,0.37457103,-0.014020609,0.18155833,15.815718,1.0,1.0
0.24,0.6,0.5571347,-0.017513337,0.108579636,10.56077,1.0,1.0
0.24,0.8,0.7677841,-0.0031589083,0.06891413,21.919222,1.0,1.0
0.24,1.0,1.0005903,0.0033902563,-0.008240985,43.548744,1.0,1.0
0.24,1.2,1.2090031,-0.008873127,-0.05148581,99.1216,1.0,1.0
0.24,1.4,1.4161333,-0.027927777,-0.094689,154.14484,1.0,1.0
0.24,1.6,1.6020166,-0.020044615,-0.10002652,153.72299,1.0,1.0
0.24,1.8,1.774565,-0.031843636,-0.021674823,88.70285,1.0,1.0
0.24,2.0,1.9741367,-0.050203152,-0.056287907,142.05249,1.0,1.0
0.24,2.2,2.184641,-0.06080254,0.094176315,251.10422,1.0,1.0
0.24,2.4,2.3568294,-0.0527843,-0.06824416,370.33698,1.0,1.0
0.24,2.6,2.498597,-0.07371798,-0.32399893,350.93726,1.0,0.0
0.24,2.8,2.709259,-0.054711733,-0.17663282,205.41318,1.0,0.8125
0.24,3.0,2.9585633,-0.12831093,-0.35380498,541.29407,1.0,0.0
0.24,3.2,3.0580106,-0.17516965,-1.0297291,681.1129,1.0,0.0
0.24,3.4,3.140683,-0.16082166,-1.1579053,1064.9844,1.0,0.0
0.24,3.6,3.2177591,-0.18633586,-1.2956879,1093.281,1.0,0.0
0.24,3.8,3.2937417,-0.1977105,-1.3800982,1061.0027,1.0,0.0
0.24,4.0,0.0041646883,0.03083436,0.028544294,8.982323,1.0,0.0
0.24,4.2,-0.0030452418,-0.0060956865,0.020871717,4.903117,1.0,0.0
0.24,4.4,-0.0017681748,-0.008039106,0.017963104,4.662092,1.0,0.0
0.24,4.6,-0.0030782123,1.8144201e-05,0.020773567,4.473757,1.0,0.0
0.24,4.8,-0.001867282,-0.0053878073,0.010920387,7.208601,1.0,0.0
0.24,5.0,-0.00359619,-0.0036065062,0.04642683,8.567787,1.0,0.0
0.26,0.0,-0.004990348,-0.008741729,-0.07957654,4.3891973,1.0,1.0
0.26,0.2,0.16839932,0.0006379819,-0.05333385,14.065889,1.0,1.0
0.26,0.4,0.39057785,-0.011200571,0.22750527,14.175458,1.0,0.0
0.26,0.6,0.55739415,-0.0161914,0.1441392,20.136726,1.0,1.0
0.26,0.8,0.75747776,0.00089093857,0.11921522,16.614658,1.0,1.0
0.26,1.0,0.98610795,0.009222791,0.063594125,17.393179,1.0,1.0
0.26,1.2,1.1887417,-0.003074471,0.0128756985,47.6463,1.0,1.0
0.26,1.4,1.3939546,-0.020670494,-0.029749312,81.98364,1.0,1.0
0.26,1.6,1.5874949,-0.015955195,-0.046034157,71.02834,1.0,1.0
0.26,1.8,1.7678778,-0.03232704,0.0053464402,101.58453,1.0,1.0
0.26,2.0,1.9930803,-0.04782944,0.0047154017,130.63599,1.0,1.0
0.26,2.2,2.1475084,-0.027493551,0.07487219,228.85304,1.0,1.0
0.26,2.4,2.3367398,-0.06110494,-0.031033061,441.54736,1.0,1.0
0.26,2.6,2.4916942,-0.06339185,-0.4042573,166.37163,1.0,0.0
0.26,2.8,2.7338743,-0.060961653,-0.0857221,178.70146,1.0,1.0
0.26,3.0,2.8965087,-0.15826795,-0.8015981,551.86804,1.0,0.0
0.26,3.2,3.0577545,-0.165414,-0.896508,972.5236,1.0,0.0
0.26,3.4,3.1828022,-0.13297823,-0.8994309,748.29016,1.0,0.0
0.26,3.6,3.2540462,-0.15744181,-1.0716565,797.73315,1.0,0.0
0.26,3.8,3.3226192,-0.1686049,-1.2472491,885.88196,1.0,0.0
